Org,National Interscholastic Cycling Association,Trips for Kids,"Little Bellas
(Bella's Mentoring, Inc.)","Project Bike Tech
(Project Bike Trip)",Cycle Kids,League of American Bicyclists,USA Cycling,Cycling Savvy,Bikes Not Bombs,People for Bikes (Coalition),International Mountain Bicycling Association (IMBA),Professional Bicycle Mechanics Association,Adventure Cycling,Transportation Alternatives,Rails-to-Trails,LA84,American Bicycling Education Association,Active Transportation Alliance,Colorado High School Cycling League,Dream Bikes,El Grupo Youth Cycling,Kiwanis Club of Downtown Sparks,Neighborhood Bike Works,Northern California High School Cycling League,Southern California High School Cycling League
Location,Berkeley,San Rafael,Jericho,Santa Cruz,Cambridge,Washington,Colorado Springs,Orlando,Jamaica Plain,Boulder,Boulder,Austin,Missoula,New York,Washington,Los Angeles,Orlando,Chicago,Boulder,Waterloo,Tucson,Reno,Philadelpha,Berkeley,Berkeley
Total Revenue,"$3,096,860","$946,915","$63,071","$184,597","$187,706","$2,374,334","$13,867,336",See ABEA,"$1,684,243","$2,461,057","$4,824,996",$0,"$5,361,920","$3,881,400","$9,309,131","$15,619,941","$68,279","$3,525,563","$328,198","$583,438","$189,188","$206,487","$619,672","$492,385","$389,037"
Fundraising Costs,"$299,729","$71,704","$2,959",$0,"$56,000","$137,030","$538,688",See ABEA,"$75,651","$106,417","$206,930",$0,"$340,854","$229,038","$1,292,298",$0,$0,"$119,545",$0,$0,"$4,722",$0,"$43,005","$8,126","$3,337"
Total Expenses,"$3,024,939","$969,708","$52,277","$162,167","$257,904","$2,899,087","$14,598,395",See ABEA,"$1,533,815","$3,755,735","$5,235,573",$0,"$5,159,823","$3,611,722","$8,059,972","$8,608,446","$46,332","$3,381,664","$239,908","$271,921","$158,664","$209,912","$533,911","$326,302","$262,765"
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Org,National Interscholastic Cycling Association,Trips for Kids,"Little Bellas
(Bella's Mentoring, Inc.)","Project Bike Tech
(Project Bike Trip)",Cycle Kids,League of American Bicyclists,USA Cycling,Cycling Savvy,Bikes Not Bombs,People for Bikes,International Mountain Bicycling Association (IMBA),Professional Bicycle Mechanics Association,Adventure Cycling,Transportation Alternatives,Rails-to-Trails,LA84,American Bicycling Education Association,Active Transportation Alliance,Colorado High School Cycling League,Dream Bikes,El Grupo Youth Cycling,Kiwanis Club of Downtown Sparks,Neighborhood Bike Works,Northern California High School Cycling League,Southern California High School Cycling League
Location,Berkeley,San Rafael,Jericho,Santa Cruz,Cambridge,Washington,Colorado Springs,,Jamaica Plain,Boulder,Boulder,Austin,Missoula,New York,Washington,Los Angeles,Orlando,Chicago,Boulder,Waterloo,Tucson,Reno,Philadelpha,Berkeley,Berkeley
Total Revenue,3096860,946915,63071,184597,187706,2374334,13867336,,1684243,2461057,4824996,,5361920,3881400,9309131,15619941,68279,3525563,328198,583438,189188,206487,619672,492385,389037
Fundraising Costs,299729,71704,2959,0,56000,137030,538688,,75651,106417,206930,,340854,229038,1292298,,0,119545,0,0,4722,0,43005,8126,3337
Total Expenses,3024939,969708,52277,162167,257904,2899087,14598395,,1533815,3755735,5235573,,5159823,3611722,8059972,8608446,46332,3381664,239908,271921,158664,209912,533911,326302,262765
,,,,,,,,,,,,,,,,,,,,,,,,,
Org,Location,Total Revenue,Fundraising Costs,Location,Total Expenses,,,,,,,,,,,,,,,,,,,,
National Interscholastic Cycling Association,Berkeley,3096860,299729,Berkeley,3024939,,,,,,,,,,,,,,,,,,,,
Trips for Kids,San Rafael,946915,71704,San Rafael,969708,,,,,,,,,,,,,,,,,,,,
"Little Bellas
(Bella's Mentoring, Inc.)",Jericho,63071,2959,Jericho,52277,,,,,,,,,,,,,,,,,,,,
"Project Bike Tech
(Project Bike Trip)",Santa Cruz,184597,0,Santa Cruz,162167,,,,,,,,,,,,,,,,,,,,
Cycle Kids,Cambridge,187706,56000,Cambridge,257904,,,,,,,,,,,,,,,,,,,,
League of American Bicyclists,Washington,2374334,137030,Washington,2899087,,,,,,,,,,,,,,,,,,,,
USA Cycling,Colorado Springs,13867336,538688,Colorado Springs,14598395,,,,,,,,,,,,,,,,,,,,
Bikes Not Bombs,Jamaica Plain,1684243,75651,Jamaica Plain,1533815,,,,,,,,,,,,,,,,,,,,
People for Bikes,Boulder,2461057,106417,Boulder,3755735,,,,,,,,,,,,,,,,,,,,
International Mountain Bicycling Association (IMBA),Boulder,4824996,206930,Boulder,5235573,,,,,,,,,,,,,,,,,,,,
Adventure Cycling,Missoula,5361920,340854,Missoula,5159823,,,,,,,,,,,,,,,,,,,,
Transportation Alternatives,New York,3881400,229038,New York,3611722,,,,,,,,,,,,,,,,,,,,
Rails-to-Trails,Washington,9309131,1292298,Washington,8059972,,,,,,,,,,,,,,,,,,,,
LA84,Los Angeles,15619941,,Los Angeles,8608446,,,,,,,,,,,,,,,,,,,,
American Bicycling Education Association,Orlando,68279,0,Orlando,46332,,,,,,,,,,,,,,,,,,,,
Active Transportation Alliance,Chicago,3525563,119545,Chicago,3381664,,,,,,,,,,,,,,,,,,,,
Colorado High School Cycling League,Boulder,328198,0,Boulder,239908,,,,,,,,,,,,,,,,,,,,
Dream Bikes,Waterloo,583438,0,Waterloo,271921,,,,,,,,,,,,,,,,,,,,
El Grupo Youth Cycling,Tucson,189188,4722,Tucson,158664,,,,,,,,,,,,,,,,,,,,
Kiwanis Club of Downtown Sparks,Reno,206487,0,Reno,209912,,,,,,,,,,,,,,,,,,,,
Neighborhood Bike Works,Philadelpha,619672,43005,Philadelpha,533911,,,,,,,,,,,,,,,,,,,,
Northern California High School Cycling League,Berkeley,492385,8126,Berkeley,326302,,,,,,,,,,,,,,,,,,,,
Southern California High School Cycling League,Berkeley,389037,3337,Berkeley,262765,,,,,,,,,,,,,,,,,,,,
